time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_max,latitude,longitude
2020-10-17,28.1,27.5,0.0,90,14.7167,-17.4677
2020-10-18,28.6,27.6,0.0,88,14.7167,-17.4677
2020-10-19,29.3,27.9,0.0,89,14.7167,-17.4677
2020-10-20,30.4,28.3,0.0,84,14.7167,-17.4677
2020-10-21,29.5,29.0,0.0,78,14.7167,-17.4677
2020-10-22,29.2,28.4,0.0,84,14.7167,-17.4677
2020-10-23,28.7,28.2,0.0,84,14.7167,-17.4677
2020-10-24,28.9,28.2,0.0,82,14.7167,-17.4677
2020-10-25,28.9,28.2,0.0,82,14.7167,-17.4677
2020-10-26,29.4,26.7,0.0,95,14.7167,-17.4677
2020-10-27,29.4,27.7,0.0,86,14.7167,-17.4677
2020-10-28,29.0,27.6,0.0,76,14.7167,-17.4677
2020-10-29,29.0,27.8,0.0,83,14.7167,-17.4677
2020-10-30,30.0,28.3,0.0,72,14.7167,-17.4677
2020-10-31,28.5,27.0,0.0,80,14.7167,-17.4677
2020-11-01,29.0,27.5,0.0,79,14.7167,-17.4677
2020-11-02,29.0,27.8,0.0,73,14.7167,-17.4677
2020-11-03,28.6,27.5,0.0,73,14.7167,-17.4677
2020-11-04,28.2,27.1,0.0,84,14.7167,-17.4677
2020-11-05,27.4,26.9,0.0,85,14.7167,-17.4677
2020-11-06,27.3,26.5,0.0,85,14.7167,-17.4677
2020-11-07,28.4,26.9,0.2,89,14.7167,-17.4677
2020-11-08,28.2,27.7,0.0,82,14.7167,-17.4677
2020-11-09,28.5,27.2,0.0,80,14.7167,-17.4677
2020-11-10,28.3,26.7,0.0,84,14.7167,-17.4677
2020-11-11,28.8,27.3,0.0,84,14.7167,-17.4677
2020-11-12,30.8,27.7,0.0,73,14.7167,-17.4677
2020-11-13,29.9,27.1,0.0,70,14.7167,-17.4677
2020-11-14,30.2,27.5,0.0,70,14.7167,-17.4677
2020-11-15,28.9,27.2,0.0,72,14.7167,-17.4677
2020-11-16,29.9,27.3,0.0,73,14.7167,-17.4677
2020-11-17,30.5,26.7,0.0,75,14.7167,-17.4677
2020-11-18,29.2,26.8,0.0,70,14.7167,-17.4677
2020-11-19,29.9,26.7,0.0,70,14.7167,-17.4677
2020-11-20,29.6,26.6,0.0,70,14.7167,-17.4677
2020-11-21,28.6,27.2,0.0,76,14.7167,-17.4677
2020-11-22,27.9,27.3,0.0,81,14.7167,-17.4677
2020-11-23,28.5,27.5,0.0,79,14.7167,-17.4677
2020-11-24,29.4,27.6,0.0,74,14.7167,-17.4677
2020-11-25,29.1,25.6,0.0,69,14.7167,-17.4677
2020-11-26,27.7,26.4,0.0,65,14.7167,-17.4677
2020-11-27,26.9,25.1,0.0,69,14.7167,-17.4677
2020-11-28,25.8,24.6,0.0,65,14.7167,-17.4677
2020-11-29,25.7,25.3,0.0,71,14.7167,-17.4677
2020-11-30,25.6,25.0,0.0,77,14.7167,-17.4677
2020-12-01,25.6,25.3,0.0,83,14.7167,-17.4677
2020-12-02,25.5,25.2,0.0,83,14.7167,-17.4677
2020-12-03,25.5,25.0,0.0,79,14.7167,-17.4677
2020-12-04,25.6,25.1,0.0,82,14.7167,-17.4677
2020-12-05,25.4,25.1,0.0,79,14.7167,-17.4677
2020-12-06,25.5,24.7,0.0,73,14.7167,-17.4677
2020-12-07,25.5,23.8,0.0,70,14.7167,-17.4677
2020-12-08,25.2,24.0,0.0,72,14.7167,-17.4677
2020-12-09,25.0,24.1,0.0,73,14.7167,-17.4677
2020-12-10,24.9,23.5,0.0,67,14.7167,-17.4677
2020-12-11,24.9,23.5,0.0,73,14.7167,-17.4677
2020-12-12,24.6,23.8,0.0,81,14.7167,-17.4677
2020-12-13,23.9,23.2,0.0,83,14.7167,-17.4677
2020-12-14,24.0,23.3,0.0,83,14.7167,-17.4677
2020-12-15,23.7,23.0,0.0,80,14.7167,-17.4677
2020-12-16,23.4,23.0,0.0,82,14.7167,-17.4677
2020-12-17,23.9,23.1,0.0,81,14.7167,-17.4677
2020-12-18,24.4,22.6,0.0,78,14.7167,-17.4677
2020-12-19,23.1,22.0,0.0,78,14.7167,-17.4677
2020-12-20,23.7,21.8,0.0,71,14.7167,-17.4677
2020-12-21,23.6,21.7,0.0,74,14.7167,-17.4677
2020-12-22,23.7,21.3,0.0,74,14.7167,-17.4677
2020-12-23,23.4,21.3,0.0,78,14.7167,-17.4677
2020-12-24,22.8,22.1,0.0,84,14.7167,-17.4677
2020-12-25,22.6,22.3,0.0,89,14.7167,-17.4677
2020-12-26,22.8,21.9,0.0,90,14.7167,-17.4677
2020-12-27,23.3,22.6,0.0,80,14.7167,-17.4677
2020-12-28,23.3,22.7,0.0,85,14.7167,-17.4677
2020-12-29,23.3,22.3,0.0,84,14.7167,-17.4677
2020-12-30,23.0,22.1,0.0,86,14.7167,-17.4677
2020-12-31,23.4,21.9,0.0,84,14.7167,-17.4677
2021-01-01,23.1,22.4,0.0,77,14.7167,-17.4677
2021-01-02,22.8,21.3,0.0,81,14.7167,-17.4677
2021-01-03,22.3,21.6,0.0,83,14.7167,-17.4677
2021-01-04,22.9,21.9,0.0,75,14.7167,-17.4677
2021-01-05,23.8,22.5,0.0,75,14.7167,-17.4677
2021-01-06,24.4,22.9,0.0,79,14.7167,-17.4677
2021-01-07,23.3,22.7,0.0,81,14.7167,-17.4677
2021-01-08,22.9,21.9,0.0,91,14.7167,-17.4677
2021-01-09,21.8,21.0,0.0,88,14.7167,-17.4677
2021-01-10,21.3,19.9,0.0,76,14.7167,-17.4677
2021-01-11,21.5,19.4,0.0,71,14.7167,-17.4677
2021-01-12,21.1,19.8,0.0,74,14.7167,-17.4677
2021-01-13,20.7,19.7,0.0,73,14.7167,-17.4677
2021-01-14,20.6,19.5,0.0,70,14.7167,-17.4677
2021-01-15,20.6,19.8,0.0,70,14.7167,-17.4677
2021-01-16,20.4,19.3,0.0,70,14.7167,-17.4677
2021-01-17,20.6,20.0,0.0,68,14.7167,-17.4677
2021-01-18,20.7,19.6,0.0,68,14.7167,-17.4677
2021-01-19,20.8,19.7,0.0,71,14.7167,-17.4677
2021-01-20,20.4,19.5,0.0,72,14.7167,-17.4677
2021-01-21,21.2,19.7,0.0,71,14.7167,-17.4677
2021-01-22,22.9,20.7,0.0,70,14.7167,-17.4677
2021-01-23,21.7,20.2,0.0,70,14.7167,-17.4677
2021-01-24,21.9,20.0,0.0,67,14.7167,-17.4677
2021-01-25,21.4,19.7,0.0,73,14.7167,-17.4677
2021-01-26,21.6,20.2,0.0,71,14.7167,-17.4677
2021-01-27,21.0,19.8,0.0,75,14.7167,-17.4677
2021-01-28,22.0,19.9,0.0,74,14.7167,-17.4677
2021-01-29,21.1,20.2,0.0,73,14.7167,-17.4677
2021-01-30,20.9,19.9,0.0,73,14.7167,-17.4677
2021-01-31,22.4,20.6,0.0,70,14.7167,-17.4677
2021-02-01,21.9,20.5,0.0,68,14.7167,-17.4677
2021-02-02,20.8,19.8,0.0,75,14.7167,-17.4677
2021-02-03,20.5,20.0,0.0,81,14.7167,-17.4677
2021-02-04,20.0,19.1,0.0,92,14.7167,-17.4677
2021-02-05,19.0,18.6,0.0,90,14.7167,-17.4677
2021-02-06,19.0,18.1,0.0,85,14.7167,-17.4677
